iter	Logloss
0	0.6734287948
1	0.6599319858
2	0.6490575483
3	0.6373479923
4	0.6293133207
5	0.6214733198
6	0.6156430989
7	0.6098432637
8	0.6046399651
9	0.5991753336
10	0.597137275
11	0.5921245445
12	0.5886176879
13	0.5858740279
14	0.5842845494
15	0.5815708098
16	0.579040164
17	0.5765546451
18	0.5752018917
19	0.572959501
20	0.5709269366
21	0.5688088698
22	0.5662844063
23	0.5646834955
24	0.5630547108
25	0.5614242744
26	0.5595682169
27	0.5575239896
28	0.5545355361
29	0.5524317846
30	0.5507215414
31	0.5494014448
32	0.5467493443
33	0.5449047758
34	0.5429404804
35	0.5407931675
36	0.5387059163
37	0.5369910546
38	0.5355597511
39	0.5342660156
40	0.5319560381
41	0.5304375337
42	0.5287991599
43	0.5263543135
44	0.5250271394
45	0.5237321257
46	0.5210043191
47	0.5198844148
48	0.5182209345
49	0.5160347708
50	0.5146261051
51	0.5129103207
52	0.5107923243
53	0.5089920227
54	0.5080871535
55	0.50705557
56	0.5063835872
57	0.5039915766
58	0.5032164338
59	0.502136854
60	0.5007673402
61	0.4991267264
62	0.4971097575
63	0.4965680169
64	0.4949363922
65	0.4932181842
66	0.4910606665
67	0.4905367692
68	0.4889215178
69	0.4867235035
70	0.4845148818
71	0.4827140896
72	0.4821754666
73	0.4806744028
74	0.4789218824
75	0.4778797736
76	0.4767061266
77	0.4760399116
78	0.474296734
79	0.472122198
80	0.4708344806
81	0.4695920486
82	0.4687787351
83	0.4678579265
84	0.4676201597
85	0.4667052344
86	0.4660011165
87	0.4643576256
88	0.4635124977
89	0.4625307849
90	0.4605149711
91	0.4595811921
92	0.4587654061
93	0.4578775651
94	0.4561899558
95	0.4551671014
96	0.4540408075
97	0.4521707671
98	0.4509702272
99	0.4496098607
