iter	Passed	Remaining
0	185	18407
1	199	9790
2	214	6925
3	228	5491
4	243	4619
5	257	4028
6	272	3619
7	288	3317
8	305	3084
9	320	2887
10	335	2715
11	349	2565
12	366	2453
13	384	2363
14	403	2284
15	421	2214
16	441	2155
17	457	2083
18	472	2012
19	488	1955
20	506	1903
21	526	1867
22	547	1831
23	566	1794
24	584	1754
25	602	1714
26	621	1679
27	640	1646
28	658	1612
29	675	1577
30	696	1551
31	714	1517
32	731	1485
33	748	1452
34	764	1419
35	780	1387
36	796	1355
37	809	1320
38	823	1287
39	839	1258
40	855	1230
41	869	1201
42	884	1172
43	898	1142
44	912	1115
45	926	1087
46	941	1062
47	956	1036
48	972	1012
49	987	987
50	1001	962
51	1017	939
52	1031	914
53	1046	891
54	1061	868
55	1074	844
56	1088	821
57	1102	798
58	1116	776
59	1132	755
60	1148	734
61	1163	712
62	1179	692
63	1194	672
64	1210	651
65	1227	632
66	1242	611
67	1256	591
68	1271	571
69	1286	551
70	1307	534
71	1325	515
72	1341	496
73	1359	477
74	1390	463
75	1406	444
76	1424	425
77	1440	406
78	1457	387
79	1474	368
80	1491	349
81	1508	331
82	1529	313
83	1545	294
84	1559	275
85	1576	256
86	1596	238
87	1616	220
88	1633	201
89	1654	183
90	1670	165
91	1687	146
92	1704	128
93	1718	109
94	1735	91
95	1752	73
96	1769	54
97	1786	36
98	1803	18
99	1819	0
