column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,target
2,15.0651993779242,a1,b0,b0,53,q2,1,2,249,23,1,58.0257856992892,1,c4,1,k,3.09561910950796,3105287.61047857
1,12.2008971948739,a3,b0,b0,6,q1,2100,4,123,4,3,81.5490970333725,1,c0,0,a,1.66597527107071,375255.676003545
2,50.337125292176,a1,b4,b4,10.15555556,q1,1,2,181,9,0,76.6899040168582,1,c3,1,j,4.26555702778805,991012.342744898
1,20.7315254450123,a1,b86,b0,0,q2,60000,7,211,29,0,79.1252010865025,1,c4,0,f,5.20146750741314,938984.99341888
2,51.6284536103333,a1,b0,b0,37,q1,48065,7,209,19,0,81.5490970333725,1,c1,0,h,6.13615402467967,776107.463784683
2,26.3052646195319,a1,b0,b0,46,q1,10000,4,170,25,0,75.4678789931438,1,c1,0,e,4.72041123177001,762270.725572997
2,20.7315254450123,a1,b0,b0,15,q1,19000,3,125,12,0,54.1990368310519,1,c1,0,f,6.1140021913467,656837.418999575
2,16.4901115455292,a3,b0,b0,55,q1,60000,7,180,10,0,59.2938695040295,1,c4,0,c,3.97441328644222,407332.0102968
2,20.7315254450123,a3,b0,b0,17,q2,60000,5,241,35,3,56.753995630812,1,c1,0,i,1.29376806280206,1124873.03307294
2,17.9096121809599,a2,b0,b0,44,q1,30000,4,181,16,1,46.4380894576392,1,c1,0,j,0.962208787037233,670139.924303263
1,5.02065789022061,a1,b7,b7,35,q1,25000,6,123,12,0,79.1252010865025,1,c1,0,a,1.61047340842063,327223.437142231
2,22.1337352817993,a1,b0,b0,6,q1,1,3,181,5,0,59.2938695040295,1,c3,0,j,5.75933475114125,910860.912141236
2,37.1836001332977,a1,b39,b39,9,q1,132000,7,210,19,0,83.9619011469807,1,c1,0,h,6.91056240332936,750250.216216653
1,10.7630308655539,a1,b0,b0,10,q1,0,8,140,11,0,63.0765004056888,1,c4,0,c,3.696692221542,290418.037693123
1,13.6352610861514,a1,b0,b0,61,q1,0,4,107,43,2,49.0416735308324,1,c0,0,b,3.69810179534434,319247.898278701
2,42.4997888846442,a2,b0,b0,33,q1,55000,8,125,24,5,68.071718974069,1,c1,0,f,2.63968841701033,426541.253384553
2,51.6284536103333,a1,b0,b0,40,q2,15000,4,245,14,1,79.1252010865025,1,c1,1,f,0.978268975280872,1560549.94515846
2,26.3052646195319,a1,b0,b0,0,q2,52000,5,197,21,2,71.7837868183371,1,c0,0,b,6.00546559864798,850797.916833472
2,24.9205711817533,a1,b0,b0,26.41666667,q2,10777,3,249,8,0,58.0257856992892,1,c4,0,k,2.04450258181732,2694829.96312407
2,23.5300769028817,a3,b214,b214,0,q1,26000,3,107,28,0,75.4678789931438,1,c0,0,a,6.01852938969561,286854.359793341
1,19.3234625127531,a1,b0,b0,43,q1,5,3,175,26,1,55.4784348152481,1,c0,0,b,7.21042962164112,1043767.10187607
2,27.6842218819402,a1,b18,b18,0,q2,33000,4,249,18,6,58.0257856992892,1,c1,0,k,2.6588464063085,2174603.1338693
1,17.9096121809599,a1,b0,b0,39,q1,10000,5,249,12,0,63.0765004056888,1,c4,0,e,4.37132211291157,1139303.12518555
2,33.1443515440171,a1,b0,b0,0,q1,6000,7,209.44,2,0,75.4678789931438,1,c8,0,h,6.33966162194048,678556.830648477
1,33.1443515440171,a3,b158,b158,39,q1,32000,5,107,7,3,85.1642362479363,1,c0,0,a,2.30789032593685,272944.810605463
1,7.88327128357425,a1,b0,b0,27,q1,14000,3,123,13,0,59.2938695040295,1,c0,0,a,6.17970034902481,379283.703723325
2,47.7420213356935,a1,b44,b44,17,q2,25400,3,197,7,1,77.9089976442515,1,c0,0,a,5.92509214629253,1042399.78984168
2,5.02065789022061,a3,b15,b15,9,q1,91200,6,140,4,0,38.5198992060866,1,c4,0,c,3.90223137447293,453459.837049123
1,9.32308306580765,a1,b1,b1,0,q1,50000,6,249,6,1,46.4380894576392,1,c1,0,e,3.95788712451346,946590.687696938
1,6.44714919221317,a1,b23,b23,48,q1,17000,7,116,8,2,89.9472804140842,1,c1,0,c,0.954585262719335,266211.141285731
2,13.6352610861514,a1,b86,b86,28,q2,15000,4,243,8,5,60.5583096525839,1,c7,0,i,5.84258383270355,1971433.70378535
